c_ClaveProdServ	Descripción
42221615	Tubos intravenosos de medicación secundaria
42221616	Sets de extensión arterial o intravenosa
42221617	Calentadores de resistencia para agujas
42221618	Bandejas para procedimientos arteriales o intravenosos
42221619	Kit colector de inyecciones sin aguja
42221700	Bolsas de infusión y recipientes y productos relacionados intravenosos y arteriales
42221701	Bolsas o contenedores de infusión arterial o intravenosa de único puerto
42221702	Bolsas o contenedores de transferencia de infusión arterial o intravenosa
42221703	Calentadores de fluido de infusión arterial o intravenosa
42221704	Bolsas de infusión de presión arterial o intravenosa
42221705	Ensamblajes de vial de infusión de analgésicos
42221706	Picos de bolsas o contenedores de transferencia de infusión arterial o intravenosa
42221707	Sets o kits de infusión de analgésicos
42221800	Aparatos para posicionar aguja y catéter intravenoso o arterial
42221801	Forros para tablas de brazo arterial o intravenoso
42221802	Tablas de brazo arterial o intravenoso
42221803	Cintas o vendajes o correas o mangas para posicionamiento de catéter arterial o intravenoso
42221900	Productos de regulación y medida del flujo intravenoso o arterial
42221901	Flujómetros o reguladores intravenosos calibrados por dial
42221902	Contadores o reguladores de goteo intravenoso
42221903	Detectores ultrasónicos de flujo de sangre
42221904	Flujómetro de sangre electromagnético
42221905	Flujómetro de sangre láser
42221906	Flujómetro de sangre de resonancia magnética
42222000	Bombas de infusión intravenosa, así como sus analizadores, sensores y accesorios
42222001	Bombas de infusión intravenosa de uso general
42222002	Bombas de infusión de jeringa intravenosa
42222003	Bombas de infusión intravenosa multicanal
42222004	Bombas de infusión controlada de analgésicos para pacientes
42222005	Partes o accesorios de bombas intravenosas
42222006	Analizadores o sensores de bombas de infusión intravenosas
42222007	Transductores de bombas de infusión intravenosas
42222008	Kits o accesorios de bombas de infusión
42222009	Actuador de jeringa para un inyector
42222100	Sistemas de transporte y suspensión de equipo arterial y intravenoso
42222101	Colgadores de equipos de línea arterial o intravenosa
42222102	Rieles o colgadores montados para sistemas de infusión intravenosa por gravedad
42222103	Postes de infusión intravenosa para sillas de ruedas
42222104	Postes o puestos de línea arterial o intravenosa
42222200	Sistemas de inyectar y retirar intravenosos sin aguja
42222201	Sets de jeringas de inyección intravenosa sin aguja o cánula de inyección
42222202	Cánulas o adaptadores o decantadores para el retiro de vial o bolsa sin aguja
42222300	Productos de transfusión y administración de sangre
42222301	Kits de administración de transfusión de sangre
42222302	Filtros o accesorios o pantallas para transfusión de sangre
42222303	Sistemas de identificación para administración o transfusión de sangre
42222304	Tubos para administración o transfusión de sangre
42222305	Pinzas para tubos de administración o transfusión de sangre
42222306	Sistemas de recolección de desechos para administración o transfusión de sangre
42222307	Sistemas de calentamiento o transfusión de sangre
42222308	Bolsas o contenedores para administración o transfusión de sangre
42222309	Sistemas de conservación para administración o transfusión de sangre
42231500	Suministros y equipo de alimentación enteral
42231501	Bombas de infusión para alimentación enteral
42231502	Sets de administración de alimentación enteral
42231503	Sets o bandejas de irrigación para alimentación enteral
42231504	Bolsas o contenedores para nutrición enteral
42231505	Adaptadores o conectores o extensiones para alimentación enteral
42231506	Dispositivos para asegurar tubos naso entéricos
42231507	Cepillos para limpiar tubos enterales
42231508	Válvulas de fijación de alimentación enteral
42231509	Cámaras de pesaje de nutrición enteral
42231510	Sets de tubos de bombeo de infusión para alimentación enteral
42231600	Accesorios o dispositivos de acceso de jejunostomía y gastronomía
42231601	Tubos de gastrostomía para uso general
42231602	Tubos para gastrostomía endoscópica percutánea
42231603	Tubos para yeyunostomía
42231604	Botones de acceso gástrico
42231605	Sujetadores de tubos de gastrostomía o yeyunostomía
42231606	Kits de descompresión del colon
42231608	Sets de catéter y aguja para yeyunostomía
42231609	Kits de tubos de alimentación para gastrostomía
42231700	Tubos naso-entéricos
42231701	Tubos nasogástricos
42231702	Tubos nasoyeyunales
42231703	Tubos de descompresión gástrica
42231704	Tubos naso entéricos no clasificados en otra parte
42231705	Filtros nasogástricos
42231800	Fórmulas y productos para apoyo nutritivo
42231801	Fórmulas de suplementos para adultos de uso general
42231802	Fórmulas de suplementos pediátricos
42231803	Fórmulas de suplementos específicos para enfermedades de adultos
42231804	Fórmulas de suplementos específicos para enfermedades pediátricas
42231805	Barras nutricionales o pudín u otros suplementos
42231806	Espesantes de comidas o bebidas nutricionales para uso médico
42231807	Chupos de teteros
42231808	Botellas de alimentación o accesorios
42231900	Equipo y suministros de lactancia materna
42231901	Bombas de seno o sus accesorios
42231902	Conchas o protectores de senos
42231903	Kits de bombas de senos
42231904	Almohada para lactancia
42232000	Trituradores de pastillas, cortapastillas y productos relacionados
42232001	Pulverizadores de tabletas o accesorios
42232002	Dispensadores o accesorios de pulverizadores de tabletas
42232003	Cortadores de tabletas o accesorios
42241500	Suministros de vaciado de escayola y tablillas
42241501	Zapatos de yeso
42241502	Materiales para acolchonar yesos o tablillas
42241503	Protectores de yesos o tablillas
42241504	Media o revestimientos para yeso o tablillas
42241505	Rollos o cintas para enyesar para uso ortopédico
42241506	Material de yeso para tablillas para uso ortopédico
42241507	Sistemas de tablillas ortopédicas
42241509	Componentes de ortesis termoplástica
42241510	Kits o materiales para tablillas termoplásticas
42241511	Sets de tablillas de tracción
42241512	Materiales de unión de yesos o tablillas
42241513	Estuches para transportar y almacenar tablillas o tablillas pre cortadas o sistemas de tablillas
42241514	Rollos de instrumentos para sets o accesorios de tablillas
42241515	Estuches para tablillas o accesorios
42241516	Marcador para material de entablillado
42241517	Esparcidor de yeso
42241600	Equipo y piezas y accesorios de vaciado de escayola
42241601	Carritos para yeso o tablillas
42241602	Cortadores o sierras para yeso
42241603	Sistemas de remoción de yeso
42241604	Vacíos de yeso
42241606	Bandejas de impresión de yeso
42241607	Puestos de yeso
42241700	Productos blandos ortopédicos para la extremidad inferior
42241701	Fieltros de recubrimiento ortopédico para tobillo o pie
42241702	Fieltros de recubrimiento ortopédico para cadera
42241703	Soportes de abrazaderas de rodilla o de abrazaderas de rodilla articuladas
42241704	Inmovilizadores o vendas artroscópicas para rodilla
42241705	Fieltros de recubrimiento ortopédico para pierna o accesorios
42241706	Productos ortóticos o para el cuidado de los pies
42241707	Abrazaderas para caminar
42241708	Almohadas para fractura del fémur
42241709	Zapatos post operatorios o accesorios
42241800	Productos blando ortopédicos para el torso y extremidad superior
42241801	Fieltros de recubrimiento ortopédico para el brazo
42241802	Fieltros de recubrimiento ortopédico para la espalda o lumbares o para el sacro
42241803	Collares cervicales o abrazaderas para el cuello
42241804	Fieltros de recubrimiento ortopédico para la clavícula
42241805	Fieltros de recubrimiento ortopédico para el codo
42241806	Fieltros de recubrimiento ortopédico para el antebrazo o la muñeca o el pulgar
42241807	Fieltros de recubrimiento ortopédico para la mano o el dedo
42241808	Fieltros de recubrimiento ortopédico para las costillas o el abdomen
42241809	Fieltros de recubrimiento ortopédico para los hombros
42241811	Faja para hernias
42241900	Suministros de tablillas dinámicas y batangas
42241901	Kits de tablillas estabilizadoras
42241902	Partes o accesorios de tablillas estabilizadoras
42242000	Dispositivos, accesorios y suministros protésicos
42242001	Dispositivos prostéticos para las extremidades inferiores
42242002	Dispositivos prostéticos para las extremidades superiores
42242003	Dispositivos o accesorios de sujeción prostética
42242004	Media o forro prostético de muñón
42242100	Suministros y accesorios de tracción ortopédica
42242101	Suministros de tracción de brazo
42242102	Suministros de tracción de mano o dedos
42242103	Suministros de tracción de cabeza o cuello
42242104	Suministros de tracción de piernas
42242105	Carritos móviles de tracción
42242106	Suministros de tracción de pelvis o espalda
42242107	Suministros de terapia de tracción de perno
42242108	Hardware o pesas de tracción ortopédica
42242109	Fieltros de recubrimiento de tracción ortopédica para uso general
42242300	Equipo y suministros ortopédicos
42242301	Bombas de cicatriz ortopédica
42242302	Aplicaciones ortopédicas de miembro superior
42251500	Productos de terapia y evaluación sensoria y perceptual y dexteridad y cognitiva
42251501	Productos de enseñanza para vestirse
42251502	Productos para evaluación o pruebas cognitivas o de destreza o de percepción o sensoriales
42251503	Juegos terapéuticos
42251504	Tableros perforados o tableros de actividades de uso terapéutico
42251505	Rompecabezas de uso terapéutico
42251506	Cajas de decoración de uso terapéutico
42251600	Equipo y dispositivos de ejercicio de rehabilitación
42251601	Vigas de balance o de soporte o mecedoras para rehabilitación o terapia
42251602	Dispositivos para escalar para rehabilitación o terapia
42251603	Dispositivos o accesorios de moción pasiva continua cpm
42251604	Patines de ejercicio de extremidades para rehabilitación o terapia
42251605	Pedales de ejercicio para rehabilitación o terapia
42251606	Tablas para ejercicios sin gravedad para rehabilitación o terapia
42251607	Poleas o accesorios para rehabilitación o terapia
42251608	Bandas de ejercicio o masilla o tubos o accesorios para rehabilitación o terapia
42251609	Patinetas o patines de ocho figuras para rehabilitación o terapia
42251610	Pelotas o accesorios terapéuticos
42251611	Dispositivos de movimiento vestibular para rehabilitación o terapia
42251612	Pesas o sets o accesorios para rehabilitación o terapia
42251613	Bandas caminadoras ejercitadoras para rehabilitación o terapia
42251614	Bolsas de arena o sets de bolsas de arena para rehabilitación o terapia
42251615	Cinturones de pesas o kits para rehabilitación o terapia
42251616	Vibradores eléctricos para rehabilitación o terapia
42251617	Asientos acolchonados o accesorios terapéuticos
42251618	Ejercitadoras de muñecas para rehabilitación o terapia
42251619	Arcilla cerámica terapéutica o accesorios
42251620	Esterillas o plataformas para rehabilitación o terapia
42251621	Ejercitadoras de bota para rehabilitación o terapia
42251622	Ejercitadoras de pulmón para rehabilitación o terapia
42251623	Aparatos o suministros para terapia ultrasónica
42251624	Máquinas de pesas para rehabilitación o terapia
42251625	Equipos de ejercicio de mandíbulas
42251700	Productos para entrenamiento del modo de andar
42251701	Cinturones de manera de caminar para rehabilitación o terapia
42251702	Rampas de entrenamiento para rehabilitación o terapia
42251703	Escaleras de entrenamiento para rehabilitación o terapia
42251704	Barras de manera de caminar para rehabilitación o terapia
42251705	Barras paralelas para rehabilitación o terapia
42251706	Caminadoras o bicicletas o ejercitadoras de manera de caminar
42251800	Equipo para hacer dura el trabajo para rehabilitación o terapia
42251801	Tableros de salto o accesorios para rehabilitación o terapia
42251802	Cajas de levantar o accesorios para rehabilitación o terapia
42251803	Árboles de tubos o accesorios para rehabilitación o terapia
42251804	Carros de halar o empujar o accesorios para rehabilitación o terapia
42251805	Mesas o estaciones de trabajo o accesorios para rehabilitación o terapia
42261500	Suministros y instrumentos para disección de patología
42261501	Tijeras para autopsias
42261502	Fórceps de disección de uso general para autopsias
42261503	Sondas de bala para autopsias
42261504	Jaladores de hilo o aguja para autopsias
42261505	Cuchillos o cuchillas para autopsias
42261506	Cinceles u osteotomos para autopsias
42261507	Hilo post mortem
42261508	Agujas post mortem
42261509	Kits de disección para autopsias
42261510	Ganchos de incisión post mortem
42261511	Directores de vena para autopsias
42261512	Sierras para autopsias
42261513	Cuchillas de sierra o accesorios para autopsias
42261514	Tablas o almohadillas de disección
42261515	Estuches para instrumentos o accesorios quirúrgicos post mortem
42261516	Rollos de instrumentos para instrumentos o accesorios quirúrgicos post mortem
42261600	Suministros y equipo de autopsia
42261601	Recolectores de polvo de huesos
42261602	Bolsa para cadáver de uso médico
42261604	Apoya cabezas para autopsias
42261605	Tablas de cuerpo para autopsias
42261606	Balanzas colgantes para autopsias
42261607	Bolsas o contenedores para especímenes para autopsias
42261608	Kits de enfermedades infecciosas para autopsias
42261609	Cintas o brazaletes de identificación post mortem
42261610	Aspiradoras o tubos de vacío para recolección de fluidos para autopsias
42261611	Termómetros rectales post mortem
42261612	Dispositivos para enderezar dedos post mortem
42261613	Kits de construcción de tejidos de cadáveres
42261700	Muebles de autopsia
42261701	Estaciones de trabajo para autopsia macroscópica o accesorios
42261702	Lavaderos o accesorios para autopsias
42261703	Tablas o accesorios para autopsias
42261704	Tablas para necropsia o accesorios
42261705	Tablas o accesorios para disección de animales post mortem
42261706	Estaciones de trabajo para embalsamar o accesorios
42261707	Estaciones de trabajo para autopsias de drenaje o accesorios
42261800	Equipo y suministros de transporte y almacenaje del cadáver
42261801	Gabinetes de almacenamiento de cadáveres
42261802	Transportadores de cadáveres
42261803	Poleas de elevación de tijeras para cadáveres
42261804	Gabinetes refrigeradores para las morgues
42261805	Cuartos refrigeradores para la morgue
42261806	Congeladores para morgues
42261807	Carritos de autopsia
42261808	Bandejas para cadáveres
42261809	Dispositivos de elevación o transferencia de cadáveres
42261810	Contenedores para transporte de cuerpos
42261900	Equipo y suministros forenses clínicos
42261901	Materiales de huellas dactilares o impresión post mortem
42261902	Máscaras anti putrefacción
42261903	Kits o suministros de detección de sangre post mortem
42261904	Kits de recolección de evidencia biológica
42262000	Equipo y suministros de embalsamar
42262001	Inyectores de cavidad para embalsamar
42262002	Tubos de drenaje de venas para embalsamar
42262003	Fluidos para embalsamar o tratamientos químicos
42262004	Tubos de inyección para embalsamar
42262005	Lavaderos o accesorios para embalsamar
42262006	Kits para embalsamar
42262007	Agujas inyectoras para embalsamar
42262008	Protectores de ojos
42262100	Equipo y suministros funerarios
42262101	Trajes mortuorios
42262102	Paquetes mortuorios
42262103	Lienzos mortuorios
42262104	Aspiradoras mortuorias
42262105	Compuestos endurecedores mortuorios
42271500	Productos para el control respiratorio
42271501	Monitores de apnea o accesorios
42271502	Monitores de gas arterial o accesorios
42271503	Monitores de óxido de carbono exhalado o suministros
42271504	Estetoscopios esofágicos
42271505	Kits de monitoreo respiratorio o sus accesorios
42271506	Monitores de oxígeno o suministros
42271600	Productos de comprobación y tratamiento de las funciones pulmonares
42271601	Pletismógrafos de cuerpo
42271602	Espirómetros o sus accesorios o suministros
42271603	Pantallas de función pulmonar para junto a la cama
42271604	Flujómetros de pico
42271605	Calculadoras de función pulmonar
42271606	Dispositivos de calibración pulmonar
42271607	Tubos de función pulmonar o accesorios
42271608	Productos de prueba de estrés pulmonar
42271609	Monitores de estudio de sueño o accesorios
42271610	Monitores transcutáneos o productos relacionados
42271611	Monitores de ventilación pulmonar
42271612	Analizadores o monitores de gas pulmonar
42271613	Monitores de presión pulmonar
42271614	Monitores de temperatura respiratoria
42271615	Neumotacos
42271616	Filtros de monitoreo de función pulmonar
42271617	Percusores de pecho
42271618	Estilógrafos grabadores para espirómetros
42271619	Entrenador de músculos de inhalación
42271620	Monitor de agua en los pulmones
42271621	Dispositivo de terapia de presión de exhalación positiva pep
42271622	Chaleco de despeje de vías aéreas
42271700	Sistemas y dispositivos de terapia de entrega de oxígeno
42271701	Cilindros de gas o dispositivos relacionados para uso médico
42271702	Concentradores de oxígeno
42271703	Mezcladores de aire de oxígeno
42271704	Temporizadores de oxígeno
42271705	Conectores o adaptadores de suministro de oxígeno
42271706	Compresores para terapia respiratoria
42271707	Sensores de flujo o reguladores o componentes
42271708	Máscaras de oxígeno o partes para uso médico
42271709	Cánulas nasales para uso médico
42271710	Catéteres nasales o kits de cateterización para uso médico
42271711	Capuchas para la cabeza para uso médico
42271712	Carpas de aerosol para uso médico
42271713	Cámaras hiperbáricas para uso médico
42271714	Incubadoras para uso médico
42271715	Tubos o conectores de oxígeno para uso médico
42271716	Estuches para insufladores nasales
42271717	Inhaladores o sets
42271718	Accesorios para productos de sistemas de entrega de oxígeno para terapia o sus suministros
42271719	Insuflador de oxígeno o sus accesorios
42271720	Convertidores de oxígeno líquido
42271721	Filtros de concentradores de oxígeno
42271722	Computador de toma de oxígeno
42271800	Productos de terapia aerosol y humedad respiratoria
42271801	Humidificadores o vaporizadores respiratorios
42271802	Nebulizadores o accesorios
42271803	Sets de transferencia para terapia respiratoria
42271900	Productos para la gestión de la vía aérea
42271901	Vías aéreas faríngeas
42271902	Tubos esofágicos
42271903	Tubos endotraqueales
42271904	Tubos de traqueotomía
42271905	Tubos endobronquiales
42271906	Kits de reparación de tubos endotraqueales o de traqueotomía
42271907	Productos de aspiradores respiratorios o accesorios
42271908	Sujetadores de vías aéreas artificiales
42271909	Accesorios de vías aéreas artificiales
42271910	Sets endotraqueales o de traqueotomía
42271911	Kits de manómetros respiratorios
42271912	Tubos nasofaríngeos
42271913	Vías aéreas faríngeas o kits de vías aéreas
42271914	Mordazas de presión de vías aéreas
42271915	Accesorios de traqueotomía
42271916	Faringómetro o accesorios
42272000	Suministros de intubación
42272001	Laringoscopios o accesorios
42272002	Aerosoles laríngeos
42272003	Bloques de mordida
42272004	Estiletes de intubación
42272005	Fórceps de intubación
42272006	Introductores
42272007	Herramientas de doblado
42272008	Sondas o guías de intubación
42272009	Detectores de dióxido de carbono para pacientes
42272011	Catéteres de succión o sus accesorios
42272016	Quillas laríngeas o accesorios
42272017	Componentes o accesorios de intubación
42272100	Ventiladores de presión mecánica negativa
42272101	Pulmón de hierro
42272102	Productos de coraza de pecho
42272200	Ventiladores y accesorios de presión mecánica positiva
42272201	Máquinas respiradoras de presión positiva intermitente ippb
42272202	Máquinas de presión de aire positivo continuo no invasivo
42272203	Máquinas de doble nivel no invasivas
42272204	Ventiladores de transporte
42272205	Ventiladores para cuidados intensivos de adultos o pediátricos
42272206	Ventiladores para cuidado intensivo de bebés
42272207	Ventiladores de alta frecuencia
42272208	Ventiladores de cuidado en casa
42272209	Circuitos de ventiladores o de respiración
42272210	Bolsas de circuito de respiración
42272211	Productos de hiperventilación
42272212	Válvulas de presión de exhalación y positiva peep
42272213	Máscaras o correas de presión de vías aéreas positivas continuas cpap
42272214	Conectores o adaptadores o válvulas de circuitos
42272215	Suministros de chequeo de ventiladores
42272216	Termómetros de ventiladores
42272217	Trampas de agua para ventiladores
42272218	Puertos o líneas de muestreo de gas para ventiladores
42272219	Intercambiadores o filtros de calor o humedad para ventiladores
42272220	Accesorios para ventiladores
42272221	Productos de humidificación para ventiladores
42272222	Productos de retiro del tubo para ventiladores
42272223	Accesorios o suministros para respiradores
42272224	Kits de circuitos para ventiladores
42272225	Accesorios de presión para vías aéreas positivas de doble nivel bi pap
42272300	Suministros de resucitadores
42272301	Resucitadores manuales
42272302	Resucitadores neumáticos
42272303	Máscaras o accesorios de resucitación
42272304	Componentes o accesorios de resucitación
42272305	Conectores de resucitación
42272306	Kits de resucitación
42272307	Estuches para aparatos o accesorios de resucitación
42272500	Aparatos de anestesia, y accesorios y suministros
42272501	Aparatos de gas de anestesia
42272502	Unidades de absorción para aparatos de gas de anestesia
42272503	Inhaladores de anestesia o unidades de inhalación o accesorios
42272505	Tubos para aparatos de gas de anestesia o ensamblajes de tubos o ajustes de tubos o accesorios
42272506	Filtros de pantalla para aparatos de anestesia
42272507	Control de temperatura para aparatos de anestesia
42272508	Bomba intratecal
42272509	Calibradores para máquina de anestesia o accesorios
42272510	Kits o accesorios para actualización de máquina de anestesia
42281500	Equipo y accesorios de esterilizadores y de autoclave
42281501	Esterilizadores químicos o de gas
42281502	Esterilizadores de aire seco o de aire caliente
42281503	Esterilizadores de filtro
42281504	Esterilizadores de bolas de vidrio
42281505	Manijas de elevación para contenedores o bandejas de esterilización
42281506	Dispositivos o accesorios eléctricos para limpieza de instrumentos
42281507	Esterilizadores de radiación
42281508	Autoclaves o esterilizadores de vapor
42281509	Contenedores o bandejas de esterilización
42281510	Ganchos o estantes o sujetadores para instrumentos de esterilización
42281511	Lámparas de esterilización
42281512	Tapas de esterilización
42281513	Placas de identificación de esterilización
42281514	Calentadores sanitarios o accesorios
42281515	Gabinetes de esterilización
42281516	Filtros de esterilización
42281517	Sistemas de recuperación de agua de esterilización
42281518	Barras para cánulas de esterilización
42281519	Esterilizadores de agujas
42281521	Sets de esterilización
42281522	Instrumentos de esterilización o insertos de estuches de esterilización
42281523	Mangas de filtro de esterilización
42281524	Adaptadores o ensamblajes de adaptadores de esterilización
42281525	Aireador de gas o químico o de radiación de esterilización
42281526	Prueba de indicador biológico para incubadoras
42281527	Concentrado o casete o cartucho de esterilizante de esterilización
42281528	Accesorios para esterilizador químico o de gas
42281529	Accesorios para esterilizador de aire seco o de aire caliente
42281530	Accesorios para esterilizador o autoclave de vapor
42281531	Esterilizador ultravioleta
42281532	Esterilizador de plasma de gas
42281600	Soluciones de desinfectantes y esterilización en frío
42281603	Desinfectante o esterilizador de instrumentos
42281604	Desinfectantes de superficies para uso médico
42281605	Compuestos anti fijación para uso médico
42281606	Fumigadores de gas para uso médico
42281700	Soluciones y equipo de limpieza pre- esterilización
42281701	Limpiadores de cámara para autoclaves o esterilizadores
42281702	Baldes de remojo desinfectantes
42281703	Kits de cuidado de instrumentos
42281704	Limpiadores o detergentes para instrumentos
42281705	Equipo de lavado desinfectante para equipos e instrumentos de uso médico
42281706	Lubricantes o leche para instrumentos
42281707	Almohadillas para remover manchas de los instrumentos
42281708	Limpiadores de carros de esterilización
42281709	Cepillos de limpieza de esterilización
42281710	Desodorantes de esterilización
42281711	Desincrustadores de esterilización
42281712	Equipo de limpieza ultrasónica
42281713	Baldes de escurrido de esterilización
42281800	Controles y indicadores de esterilización
42281801	Tiras de prueba de desinfección
42281802	Etiquetas de esterilización
42281803	Kits biológicos de esterilización
42281804	Controles de esterilización
42281805	Registros indicadores de esterilización
42281806	Tiras indicadoras de esterilización
42281807	Cintas indicadoras de esterilización
42281808	Papeles u hojas de esterilización
42281809	Sobres de almacenamiento de registros de esterilización
42281810	Paquetes de prueba y accesorios de esterilización
42281811	Candado para contenedor de esterilización
42281900	Suministros de empaquetar y envoltura de esterilización
42281901	Sujetadores o carritos para envoltorios o sobres de esterilización
42281902	Fundas o sobre fundas de esterilización
42281903	Cubiertas contra el polvo de esterilización
42281904	Bolsas de esterilización
42281905	Selladores en caliente de esterilización
42281906	Bandas de instrumentos de esterilización
42281907	Protectores de instrumentos de esterilización
42281908	Recubrimientos de bandejas de instrumentos de esterilización
42281909	Pistolas o cintas o esferos etiquetadores de esterilización
42281912	Toallas de esterilización
42281913	Tunos de esterilización
42281914	Contenedores desechables de esterilización
42281915	Rollos de esterilización
42281916	Talegos de esterilización
42291500	Instrumentos quirúrgicos y productos relacionados para biopsia de los huesos
42291501	Molinos para biopsia de hueso para uso quirúrgico o productos relacionados
42291502	Trepanadores para biopsia de hueso para uso quirúrgico
42291600	Instrumentos quirúrgicos de cortar y lazos y productos relacionados
42291601	Escalpelos o cuchillos o manijas de cuchillos láser para uso quirúrgico
42291602	Tornillos o cables o alfileres o instrumentos para cortar alambre para uso quirúrgico
42291603	Fórceps para cortar hueso para uso quirúrgico
42291604	Sierras de mano o sierras de alambre o manijas para sierras para huesos para uso quirúrgico
42291605	Brocas para uso quirúrgico
42291606	Cinceles o perforadoras para uso quirúrgico
42291607	Curetas o lanzaderas para uso quirúrgico
42291608	Bloques o tablas o plataformas de cortado para uso quirúrgico
42291609	Pinzas para uso quirúrgico
42291610	Planos para uso quirúrgico
42291611	Raspadores para uso quirúrgico
42291612	Tenazas para uso quirúrgico
42291613	Escalpelos o cuchillos o cuchillas o trepanadores o accesorios para uso quirúrgico
42291614	Tijeras para uso quirúrgico
42291615	Tijeras para uso quirúrgico
42291616	Pinzas o cables de pinzas para uso quirúrgico
42291617	Espitas para uso quirúrgico
42291619	Tomos (pinzas de resección) para uso quirúrgico
42291620	Trocadores quirúrgicos para uso general o accesorios
42291621	Removedores de anillos de los dedos
42291622	Adenotomos
42291623	Periosteotomos
42291624	Meniscotomos
42291625	Instrumentos de incisión del talón de los bebés
42291627	Taladros quirúrgicos o sus accesorios
42291700	Taladros quirúrgicos de mano y escariadores y instrumentos de punción y accesorios y productos relacionados
42291701	Brocas de mano o de torsión o kits de brocas o accesorios para uso quirúrgico
42291702	Escariadores o punzones de mano para uso quirúrgico
42291703	Perforadoras para uso quirúrgico
42291704	Punzones o sujeta punzones o accesorios para uso quirúrgico
42291705	Adaptadores de escariadores para uso quirúrgico
42291707	Kits de craneotomía
42291708	Brocas o accesorios para uso quirúrgico
42291709	Cuchillas de sierra o accesorios para uso quirúrgico
42291710	Gancho amniótico
42291800	Abrazaderas quirúrgicas y fórceps y ligadores quirúrgicos y instrumentos relacionados
42291801	Aplicadores de ligantes de bandas o bandas o productos relacionados para uso quirúrgico
42291802	Pinzas o ganchos o fórceps o accesorios para uso quirúrgico
42291803	Pinzas o fórceps láser para uso quirúrgico
42291804	Pinzas o campana de circuncisión
42291805	Pinza de cordón umbilical de recién nacidos
42291900	Posicionadores y portadores de tubos y instrumentos quirúrgicos
42291901	Sujetadores o posicionadores de instrumentos quirúrgicos
42291902	Sujetadores o posicionadores de tubos para uso quirúrgico
42292000	Espejos quirúrgicos
42292001	Espejos de otolaringología o accesorios para uso quirúrgico
42292100	Insertadores y extractores quirúrgicos y productos relacionados
42292101	Insertores o kits de insertores para uso quirúrgico
42292102	Extractores para uso quirúrgico
42292103	Porta tubos o llaves para uso quirúrgico
42292200	Aproximadores y compresores y depresores quirúrgicos y productos relacionados
42292201	Aproximadores para uso quirúrgico
42292202	Compresores para uso quirúrgico
42292203	Depresores para uso quirúrgico
42292300	Hierros de flexión y herramientas de plegar y tenazas y tensionadores y torceduras quirúrgicos y productos relacionados
42292301	Instrumentos para doblar para uso quirúrgico
42292302	Engarzadores para uso quirúrgico
42292303	Alicates para uso quirúrgico
42292304	Tensores para uso quirúrgico
42292305	Agarres para uso quirúrgico
42292306	Fórceps o tenazas de alambre para uso quirúrgico
42292307	Llaves para uso quirúrgico
42292400	Machos de roscar y impulsores quirúrgicos y productos relacionados
42292401	Roscas para uso quirúrgico
42292402	Controladores o sus partes o accesorios para uso quirúrgico
42292403	Mangos de hachas para uso quirúrgico
42292500	Martillos y malletes y impactadores y prensas quirúrgicos y productos relacionados
42292501	Tapones para uso quirúrgico
42292502	Martillos o martillos quirúrgicos para uso quirúrgico
42292503	Impactadores o empacadores para uso quirúrgico
42292504	Prensas para uso quirúrgico
42292505	Martillos o cabezas de martillo para uso quirúrgico
42292600	Dilatadores y sondas y ranuras quirúrgicas y productos relacionados
42292601	Dilatadores o accesorios para uso quirúrgico
42292602	Muescas para uso quirúrgico
42292603	Sondas o directores para uso quirúrgico
42292700	Disectores y Elevadores y Piquetas quirúrgicos y productos relacionados
42292701	Disectores para uso quirúrgico
42292702	Levantadores o niveladores para uso quirúrgico
42292703	Elevadores para uso quirúrgico
42292704	Picas para uso quirúrgico
42292800	Instrumentos quirúrgicos de marcar
42292801	Instrumentos de marcación oftálmica
42292802	Instrumentos de marcación quirúrgica para uso general
42292803	Dispositivo de sellamiento y marcado de biopsias
42292900	Instrumentos quirúrgicos de cerrar la sutura de tejido y productos relacionados
42292901	Instrumentos de cerclaje para uso quirúrgico
42292902	Sujetadores de aguja láser para uso quirúrgico
42292903	Sujetadores de agujas quirúrgicas para uso general
42292904	Suturas quirúrgicas o pasadores de alambre o productos relacionados
42292907	Sistemas para estirar la piel
42292908	Dispositivos de costura de bolsa para uso quirúrgico
42293000	Dispositivos quirúrgicos de medir y productos relacionados
42293001	Calibradores o reglas para uso quirúrgico
42293002	Sondas o varas de medición para uso quirúrgico
42293003	Instrumentos de medición de ganchos para uso quirúrgico
42293004	Instrumentos quirúrgicos de determinación de tamaño para uso general
42293005	Instrumentos de determinación de tamaño de válvula para uso quirúrgico
42293006	Cintas de medición para uso quirúrgico
42293100	Retractores quirúrgicos y productos relacionados
42293101	Retractores láser para uso quirúrgico
42293102	Ganchos de retracción para uso quirúrgico
42293103	Retractores de fibra óptica iluminados para uso quirúrgico
42293104	Mordazas o accesorios para uso quirúrgico
42293105	Retractores de inclinación para uso quirúrgico
42293106	Sets de retractores para uso quirúrgico
42293107	Retractores quirúrgicos para uso general
42293108	Estabilizadores para uso quirúrgico
42293109	Protectores de tejidos para uso quirúrgico
42293110	Retractores ortopédicos
42293111	Retractores oftálmicos
42293112	Retractores torácicos o cardiovasculares
42293113	Retractores de vena
42293114	Retractores bucales
42293115	Retractores traqueales
42293116	Retractores rectales
42293117	Retractores gastrointestinales
42293118	Retractores uterinos
42293119	Retractores abdominales
42293120	Retractores de columna o nervios
42293121	Retractores de glándulas
42293122	Retractores de oído
42293123	Retractores para cirugía plástica
42293124	Retractores de nervios
